serial,sex,race,labforce,empstat,statefip,year
5088,2,651,0,0,6,2021
5088,2,651,0,0,6,2021
5088,2,651,2,10,6,2021
5089,2,651,1,36,6,2021
5090,2,651,2,10,6,2021
5090,1,651,1,34,6,2021
5090,2,651,2,10,6,2021
5092,2,100,2,10,6,2021
5095,1,100,2,10,6,2021
5095,2,100,2,21,6,2021
5096,1,100,2,10,6,2021
5096,2,100,2,10,6,2021
5097,2,100,2,10,6,2021
5097,1,100,2,10,6,2021
5097,2,100,1,34,6,2021
5098,1,100,1,36,6,2021
5101,2,100,2,10,6,2021
5101,1,100,0,0,6,2021
5102,2,100,2,10,6,2021
5102,1,100,1,34,6,2021
5102,2,100,0,0,6,2021
5102,1,100,0,0,6,2021
5102,1,100,0,0,6,2021
5102,1,100,0,0,6,2021
5103,2,100,1,34,6,2021
5103,1,100,2,10,6,2021
5103,1,100,0,0,6,2021
5103,1,100,0,0,6,2021
5103,1,100,2,10,6,2021
5103,2,100,2,10,6,2021
5103,1,100,2,10,6,2021
5104,2,100,1,36,6,2021
5104,1,100,1,36,6,2021
5105,2,100,2,21,6,2021
5108,2,651,2,10,6,2021
5108,2,651,1,34,6,2021
5108,2,651,1,36,6,2021
5110,1,651,1,36,6,2021
5110,2,651,1,36,6,2021
5110,2,651,1,36,6,2021
5111,1,200,2,10,6,2021
5111,1,200,2,10,6,2021
5112,1,100,2,10,6,2021
5112,1,100,0,0,6,2021
5113,1,100,2,10,6,2021
5113,2,100,1,34,6,2021
5113,1,100,0,0,6,2021
5113,2,100,0,0,6,2021
5116,2,100,1,34,6,2021
5116,1,100,2,10,6,2021
5116,1,100,0,0,6,2021
5116,2,100,1,34,6,2021
5116,2,100,2,10,6,2021
5117,2,100,2,10,6,2021
5117,1,100,2,10,6,2021
5119,2,100,2,10,6,2021
5120,2,100,1,36,6,2021
5121,2,100,2,10,6,2021
5121,2,100,2,10,6,2021
5122,2,100,1,36,6,2021
5123,1,651,2,10,6,2021
5123,2,651,2,10,6,2021
5123,1,651,0,0,6,2021
5123,2,651,0,0,6,2021
5123,1,651,2,21,6,2021
5123,2,651,2,10,6,2021
5123,2,651,2,10,6,2021
5123,1,651,2,10,6,2021
5123,2,651,1,36,6,2021
5124,1,100,2,10,6,2021
5124,2,100,1,36,6,2021
5124,2,100,0,0,6,2021
5124,2,100,1,34,6,2021
5124,1,100,2,10,6,2021
5125,1,100,1,36,6,2021
5125,2,100,1,36,6,2021
5125,1,100,2,10,6,2021
5125,1,100,1,34,6,2021
5126,1,100,2,10,6,2021
5128,2,100,2,10,6,2021
5128,1,100,2,10,6,2021
5128,1,100,0,0,6,2021
5128,1,100,0,0,6,2021
5130,1,100,2,10,6,2021
5131,2,652,2,10,6,2021
5131,1,652,2,10,6,2021
5131,2,652,0,0,6,2021
5131,2,652,0,0,6,2021
5134,1,100,2,21,6,2021
5134,2,100,2,10,6,2021
5134,2,100,0,0,6,2021
5134,1,100,1,34,6,2021
5135,1,100,2,10,6,2021
5135,1,100,2,10,6,2021
5136,2,100,2,10,6,2021
5136,2,100,1,34,6,2021
5137,2,100,1,36,6,2021
5137,1,100,1,32,6,2021
5137,1,100,1,34,6,2021
5137,1,100,2,10,6,2021
5138,1,100,2,21,6,2021
5138,2,100,2,10,6,2021
5138,1,100,2,10,6,2021
5138,2,100,1,34,6,2021
5139,2,100,2,10,6,2021
5139,2,100,2,10,6,2021
5139,1,100,2,10,6,2021
5140,2,100,2,10,6,2021
5140,2,100,0,0,6,2021
5140,1,100,1,34,6,2021
5141,1,100,2,10,6,2021
5142,2,100,0,1,6,2021
5142,1,100,1,34,6,2021
5142,1,100,0,0,6,2021
5142,1,100,0,0,6,2021
5142,1,100,1,34,6,2021
5143,2,100,2,10,6,2021
5143,1,100,2,10,6,2021
5143,1,100,1,34,6,2021
5145,2,651,2,10,6,2021
5145,2,651,1,34,6,2021
5145,1,651,1,34,6,2021
5146,2,100,2,10,6,2021
5147,1,100,2,10,6,2021
5147,2,100,1,34,6,2021
5147,1,100,0,0,6,2021
5147,1,100,0,0,6,2021
5150,1,100,2,10,6,2021
5150,2,100,2,10,6,2021
5150,2,100,0,0,6,2021
5150,1,100,1,34,6,2021
5150,2,100,1,34,6,2021
5150,1,100,2,10,6,2021
5151,2,200,1,36,6,2021
5152,1,651,1,36,6,2021
5154,2,100,1,34,6,2021
5154,2,100,0,0,6,2021
5154,1,100,0,0,6,2021
5155,1,651,2,21,6,2021
5155,2,651,1,34,6,2021
5155,2,651,0,0,6,2021
5159,1,100,2,10,6,2021
5159,2,803,2,10,6,2021
5160,2,100,2,21,6,2021
5160,1,100,1,34,6,2021
5160,2,100,1,34,6,2021
5161,1,100,2,10,6,2021
5162,1,651,2,10,6,2021
5163,2,100,1,34,6,2021
5164,2,100,2,10,6,2021
5164,2,100,2,10,6,2021
5165,2,651,1,34,6,2021
5165,2,651,2,21,6,2021
5165,2,651,1,34,6,2021
5165,1,651,2,10,6,2021
5165,2,651,1,34,6,2021
5166,1,651,2,10,6,2021
5166,2,651,2,10,6,2021
5166,1,651,2,10,6,2021
5166,1,651,2,12,6,2021
5166,2,651,1,32,6,2021
5166,1,651,0,0,6,2021
5166,2,803,0,0,6,2021
5166,2,803,1,34,6,2021
5167,1,100,2,10,6,2021
5167,2,100,1,34,6,2021
5167,1,100,0,0,6,2021
5167,2,100,0,0,6,2021
5169,1,100,1,36,6,2021
5169,2,100,1,36,6,2021
5170,1,651,1,36,6,2021
5170,2,651,1,36,6,2021
5172,2,100,2,10,6,2021
5173,2,100,2,10,6,2021
5173,1,100,2,10,6,2021
5173,1,100,2,10,6,2021
5174,1,652,2,21,6,2021
5174,1,652,1,34,6,2021
5175,2,100,2,10,6,2021
5175,1,100,2,10,6,2021
5177,1,100,2,10,6,2021
5177,2,100,2,10,6,2021
5178,2,100,1,36,6,2021
